matchId,t1Dragons,t2Dragons,t1Rift,t2Rift,topGoldDiff,jgGoldDiff,midGoldDiff,adcGoldDiff,suppGoldDiff,t1TopTowerTaken,t1MidTowerTaken,t1BotTowerTaken,t2TopTowerTaken,t2MidTowerTaken,t2BotTowerTaken
NA1_4244803597,1,1,0,1,-207,-750,-2144,-742,-735,0,1,0,0,0,0
NA1_4260475006,2,0,1,0,1409,2719,2739,3035,1771,0,0,0,1,1,1
NA1_4238047686,0,1,1,0,1011,1233,992,-5,-297,0,0,0,0,0,0
NA1_4255810631,1,1,0,1,-1805,1753,67,151,47,0,0,0,0,0,0
NA1_4258419033,0,2,0,0,533,-1364,1254,-382,-419,0,0,0,0,0,0
NA1_4235110820,1,1,1,0,-89,-404,818,777,885,0,0,0,0,0,0
NA1_4246674792,1,0,1,0,2042,520,-115,233,186,0,0,0,1,0,0
NA1_4245717493,1,1,0,0,228,-803,-335,-584,775,0,0,0,0,0,0
NA1_4237206449,0,2,1,0,769,-591,541,851,279,0,0,1,1,0,0
NA1_4248283828,1,1,0,0,478,-91,325,488,-790,0,0,0,0,0,0
NA1_4244751445,1,1,1,0,599,-1038,-1398,-632,271,0,0,0,0,0,1
NA1_4254193442,0,2,0,1,69,-1272,-457,-908,659,1,0,0,0,0,0
NA1_4258201111,0,2,0,1,2462,-1276,-1577,-2169,-1376,0,0,1,1,0,0
NA1_4251401233,1,1,1,0,-1991,43,-889,259,-821,0,0,0,0,0,0
NA1_4244037778,1,1,0,1,-3751,-1650,1028,342,11,1,0,1,0,0,0
NA1_4254590130,1,0,0,1,1335,1860,605,2379,950,0,0,0,1,0,0
NA1_4235040390,1,0,0,1,1206,-337,-403,157,678,0,0,0,0,0,0
NA1_4241091383,0,2,0,1,-1773,-2809,282,-252,-965,0,0,1,0,0,0
NA1_4257383924,0,1,0,1,-1575,1094,-3469,-1974,-526,2,2,0,0,0,0
NA1_4244883178,1,1,1,0,1447,-1206,12,-372,-750,0,0,0,0,0,0
NA1_4259787848,0,1,1,0,2426,-2618,2653,-2391,-1335,0,0,1,0,1,0
NA1_4244522018,0,2,0,1,2428,517,321,2812,408,0,0,0,1,0,0
NA1_4253096372,2,0,1,0,816,2075,2582,303,-198,0,0,0,0,0,0
NA1_4256297205,2,0,1,0,2982,357,2505,3187,141,0,0,0,2,0,0
NA1_4252505317,1,0,0,0,-1540,-85,32,2290,-223,0,0,0,0,0,0
NA1_4256877049,1,0,0,0,1039,-1813,464,-2652,124,0,0,0,0,0,0
NA1_4244281451,0,2,1,0,-573,-534,534,456,283,0,0,0,0,0,0
NA1_4255658561,1,0,0,1,943,-308,-445,118,-353,0,0,0,0,0,0
NA1_4238974458,0,2,0,1,-2579,-2817,-2355,-1395,-762,1,1,0,0,0,0
NA1_4246660835,2,0,0,1,-669,1464,294,-813,1114,0,0,0,0,0,0
NA1_4252670578,1,0,0,1,-198,799,213,-1269,572,0,0,0,0,0,0
NA1_4247134192,2,0,1,0,1145,2520,-21,269,2269,0,0,0,0,1,0
NA1_4245075800,0,1,1,0,1252,-934,-301,-1394,-2431,0,0,0,0,0,0
NA1_4253548234,0,2,0,1,650,-1238,-294,1018,1107,0,0,0,0,0,0
NA1_4257255402,1,0,0,1,41,1178,1586,1049,-905,1,0,0,0,1,0
NA1_4241842231,0,1,0,0,-884,-3573,400,1578,-277,0,0,0,0,0,0
NA1_4256612788,1,0,1,0,-416,95,1185,-2851,-1476,0,0,0,0,0,0
NA1_4246935952,1,1,0,1,372,-654,94,1991,2691,0,0,0,0,0,1
NA1_4253713107,1,0,0,1,-2328,-1540,156,-2664,-774,1,0,1,0,0,0
NA1_4238563363,2,0,1,0,282,-123,1413,-867,983,0,0,0,1,0,0
NA1_4245199972,1,0,0,1,-165,-568,-864,-422,257,0,0,0,0,0,0
NA1_4250562694,0,2,0,1,-1103,-1173,-63,-1681,-376,0,0,0,0,0,0
NA1_4257019297,1,0,0,1,-449,-91,1823,2781,538,1,0,0,0,0,1
NA1_4251181506,2,0,1,0,-320,-1158,-1171,2547,1979,0,0,0,0,0,1
NA1_4258273613,1,1,1,0,2621,34,-215,-1062,-504,0,0,0,0,0,0
NA1_4255071546,1,0,1,0,-71,535,2512,339,-159,0,0,0,0,0,0
NA1_4253962744,1,0,0,0,2529,-1018,-1803,-1712,224,0,0,0,1,0,0
NA1_4258504974,1,0,1,0,298,1635,2096,643,1141,0,0,0,0,1,0
NA1_4259850276,1,0,1,0,277,504,1157,1351,931,0,0,0,0,0,0
NA1_4258650762,0,1,0,1,719,585,-106,-652,-382,0,0,0,0,0,0
NA1_4259381282,2,0,0,0,-1053,1237,4062,1198,820,0,0,0,0,1,0
NA1_4235744317,0,1,0,0,-1357,-510,2472,-2335,-745,0,0,0,0,1,0
NA1_4257875961,0,0,0,1,2559,720,-1973,-1451,-418,0,0,0,1,0,0
NA1_4255449165,0,2,0,1,-602,144,779,520,969,0,0,0,0,0,0
NA1_4244125618,2,0,1,0,316,1232,1220,551,939,0,0,0,0,0,0
NA1_4237317408,0,0,1,0,709,336,1904,-20,527,0,0,0,0,0,0
NA1_4252974188,2,0,1,0,3747,2157,876,907,1383,0,0,0,1,0,1
NA1_4239685602,0,1,0,1,-2381,874,2846,-387,-134,0,1,0,0,0,0
NA1_4248235241,1,0,0,0,-375,-1240,1189,-2162,-650,0,0,1,0,0,0
NA1_4238674961,1,0,1,0,3672,267,677,1143,875,0,0,0,1,1,0
NA1_4254347873,1,0,1,0,-1699,-453,-285,1993,1654,0,0,0,0,0,1
NA1_4242059091,1,0,0,1,-3083,278,1726,1372,748,1,0,0,0,0,1
NA1_4236956876,0,1,1,0,1975,212,3799,2971,282,0,0,0,1,1,0
NA1_4247053617,1,0,0,1,-531,280,-3590,-1317,-1045,0,1,0,0,0,0
NA1_4248856236,0,1,1,0,-2856,-663,2134,89,2141,1,0,0,0,0,0
NA1_4251749581,2,0,1,0,1473,2344,-454,296,2116,0,0,0,1,0,0
NA1_4258486602,1,0,1,0,1396,-1088,1208,1683,13,0,0,0,0,1,0
