matchId,gameLength,winningTeam,team1Top,team1Jg,team1Mid,team1Adc,team1Supp,team2Top,team2Jg,team2Mid,team2Adc,team2Supp
NA1_4251524241,1676,200,Sion,Trundle,Akali,Sivir,Zilean,Shen,MasterYi,Vladimir,Ezreal,Blitzcrank
NA1_4250614348,1727,200,Sett,Nocturne,Neeko,Zeri,Nautilus,Tryndamere,Graves,Volibear,Kaisa,Karma
NA1_4251738976,2255,200,Singed,Diana,Viktor,Lucian,Nami,Aatrox,Nocturne,Chogath,KogMaw,Janna
NA1_4260646316,1668,200,Akali,Garen,Fizz,Jinx,Karma,Mordekaiser,MasterYi,Nasus,Ezreal,Lux
NA1_4251525094,1267,100,Yone,Nocturne,Orianna,Vayne,Zilean,Singed,Nidalee,Rumble,MissFortune,Bard
NA1_4259514795,1670,200,Singed,LeeSin,Syndra,Kaisa,Pyke,TahmKench,Nunu,Yone,Xayah,Senna
NA1_4246899795,2189,200,Riven,Shyvana,Zoe,Lucian,Zilean,Poppy,Nocturne,Azir,Vayne,Karma
NA1_4247181488,1580,200,Ornn,Zac,Viktor,Jinx,Lulu,Jax,Diana,Akshan,Zeri,Nami
NA1_4251406398,1688,100,Fiora,Zed,Ryze,Jhin,Nautilus,Garen,Kindred,Yone,Veigar,Lux
NA1_4250748175,1735,100,Sett,Shyvana,Talon,MissFortune,Taliyah,Gangplank,Olaf,Teemo,Zeri,Senna
NA1_4238056494,1281,100,Irelia,Teemo,Talon,Varus,Thresh,Darius,Sett,Annie,Vayne,Janna
NA1_4238978408,2125,100,Fiora,Sejuani,Zed,Jinx,Renata,Viego,Sion,Katarina,MissFortune,Rakan
NA1_4249000541,1745,100,Singed,Hecarim,Kaisa,Ezreal,Lux,Sion,MasterYi,Yasuo,Vayne,Malphite
NA1_4250045067,1602,200,Gangplank,Rengar,Kaisa,Jinx,Nautilus,Urgot,Hecarim,Xerath,Lucian,Pyke
NA1_4242391684,2000,200,Yone,MasterYi,Brand,Jhin,Rell,Akshan,Kayn,Garen,Vayne,Thresh
NA1_4252865677,1968,200,Urgot,Evelynn,Kayle,Aphelios,Braum,Lulu,MasterYi,Kaisa,Caitlyn,Veigar
NA1_4255822906,1649,100,Singed,Sejuani,Irelia,Jhin,Karma,Camille,Volibear,Akali,Twitch,Soraka
NA1_4256437844,1964,200,Irelia,Kindred,Orianna,Ezreal,Soraka,Yasuo,Ekko,Vladimir,Caitlyn,Nami
NA1_4246901682,1955,200,Sion,LeeSin,Zeri,Caitlyn,Zyra,Gangplank,Kayn,Anivia,Ezreal,Thresh
NA1_4260518922,1821,200,Nasus,Pantheon,Fizz,Aphelios,Soraka,Fiora,Viego,Veigar,Jhin,Leona
NA1_4252886028,2157,200,Nasus,Vi,Kaisa,Samira,Nautilus,Jhin,Graves,Ekko,Jinx,Galio
NA1_4253492527,1698,100,Yorick,Viego,Kaisa,Kalista,Nautilus,Gnar,Graves,Kassadin,Veigar,Ziggs
NA1_4247056451,1231,100,DrMundo,Diana,Yasuo,Ashe,Soraka,Sion,Vi,Malzahar,Kaisa,Pantheon
NA1_4242259979,2001,200,Sett,RekSai,Velkoz,Lucian,Yuumi,Shen,Khazix,Shaco,Kaisa,Lulu
NA1_4259050259,1567,200,Garen,MasterYi,Viktor,Lucian,Rell,Gangplank,LeeSin,Sylas,Kaisa,Blitzcrank
NA1_4249615644,1508,100,Kennen,Kindred,Tristana,Aphelios,Braum,Kalista,RekSai,Yone,Ezreal,Karma
NA1_4259201050,2203,200,Zilean,Kayn,Yasuo,Caitlyn,Yuumi,Camille,Udyr,Chogath,Kalista,Morgana
NA1_4240496771,2347,200,Yasuo,Kayn,Katarina,Quinn,Renata,Jayce,Volibear,Jhin,Velkoz,Pyke
NA1_4238531146,1892,200,Garen,Evelynn,Khazix,Ezreal,Lux,Kayle,Viego,Yasuo,Caitlyn,Soraka
NA1_4235746194,1860,100,Volibear,Nidalee,Qiyana,Sivir,Lulu,Teemo,Sejuani,Zoe,Ezreal,Pyke
NA1_4236227229,808,200,Sylas,Vi,Sion,Jinx,Yuumi,Graves,Zac,Qiyana,Yasuo,Pyke
NA1_4236284362,1381,200,Gnar,Hecarim,Katarina,Kaisa,Heimerdinger,Yone,Diana,Viktor,Tristana,Syndra
NA1_4250691811,1641,200,Yone,Jayce,Corki,Sivir,Swain,Nasus,Hecarim,Kassadin,Jinx,Renata
NA1_4244559593,1661,200,Fiora,Hecarim,Ekko,Lucian,Thresh,Yone,DrMundo,Jayce,Jhin,Yuumi
NA1_4258927390,1599,100,Khazix,Tryndamere,Annie,Jhin,Lissandra,Trundle,Ekko,Orianna,Jinx,Soraka
NA1_4250687450,2458,100,Zac,Tryndamere,Yone,Zeri,Lux,Kled,Viego,Talon,KogMaw,Xerath
NA1_4258684249,1872,200,Aatrox,Amumu,Yasuo,Tristana,Lux,Garen,Mordekaiser,Viktor,Jinx,Poppy
NA1_4252912701,2148,100,Sion,Ekko,Yasuo,Jinx,Senna,Darius,Shaco,Brand,Ezreal,Karma
